rank	term	pvalue	zscore	combinedscore	overlapping_genes	adjusted_pvalue			link	library	category	direction	cluster
1	Monocyte percentage 30190 raw	6.985464947813088e-05	3.417927027257968	32.70646470383253	['CIITA', 'CEBPB', 'CSF3R', 'ARHGAP1', 'HLA-C', 'CXCR4', 'RPL13A', 'LSP1', 'GLG1', 'CCND3', 'VPS72', 'ZYX', 'ODF3B', 'MYO1G']	0.05986543460275816	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	UK_Biobank_GWAS_v1	Diseases	up	Cluster 0
2	Self-reported psoriasis 20002 1453	9.044856742335475e-05	10.854227721697603	101.06077482443337	['NFKBIA', 'HLA-C', 'HLA-DRA', 'TYK2', 'HLA-A']	0.03875721114090751	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	UK_Biobank_GWAS_v1	Diseases	up	Cluster 0
3	Peak expiratory flow 3064 raw	0.0002592508691753519	3.9181114702713296	32.35464534511517	['CEBPB', 'SERPINA1', 'CAPZB', 'MICAL1', 'LAPTM5', 'FLOT1', 'HLA-C', 'CSK', 'CCNL2', 'HLA-A']	0.07405933162775886	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	UK_Biobank_GWAS_v1	Diseases	up	Cluster 0
4	Self-reported multiple sclerosis 20002 1261	0.0006269914578215792	17.21170395869191	126.92904718267104	['HLA-A', 'HLA-DRB1', 'TAPBP']	0.13433291983827333	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	UK_Biobank_GWAS_v1	Diseases	up	Cluster 0
5	Platelet crit 30090 raw	0.0013010657228395234	2.2345952589337257	14.847928113569605	['MACF1', 'RPL3', 'SERPINA1', 'ACSL1', 'TPM3', 'LAPTM5', 'HLA-C', 'MYO9B', 'HLA-A', 'TYK2', 'RHOA', 'PREX1', 'CCND3', 'CAPZB', 'TRAF5', 'TLN1', 'SUGP2', 'RPS13']	0.22300266489469428	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	UK_Biobank_GWAS_v1	Diseases	up	Cluster 0
1	Inflammatory bowel disease	3.0349077918769717e-06	2.8322032842229286	35.984075980943466	['CEBPB', 'RPL3', 'ATF6B', 'CCDC69', 'LSP1', 'BAG6', 'CCND3', 'PTK2B', 'ASCC2', 'CCNL2', 'STAT5A', 'CD74', 'GPX1', 'PRKCB', 'HLA-C', 'TYK2', 'RHOA', 'PRRC2A', 'TUFM', 'CCDC88B', 'ATXN2L', 'ARHGAP30', 'HLA-DRA', 'HLA-DRB1', 'ATF4']	0.0052716348344903	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	GWAS_Catalog_2019	Diseases	up	Cluster 0
2	Psoriasis vulgaris	2.1641213992452598e-05	10.476689366160294	112.52918812040988	['NFKBIA', 'ILF3', 'STAT2', 'HLA-C', 'TYK2', 'RUNX3']	0.01879539435244508	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	GWAS_Catalog_2019	Diseases	up	Cluster 0
3	Ulcerative colitis	0.00020425958084284757	2.818290706686395	23.944532989200198	['STAT5A', 'CIITA', 'RPL3', 'GPX1', 'ATF6B', 'PRKCB', 'HLA-C', 'LSP1', 'ITGAL', 'RHOA', 'PRRC2A', 'BAG6', 'FLOT1', 'HLA-DRA', 'CCNL2', 'HLA-DRB1']	0.11826629730800875	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	GWAS_Catalog_2019	Diseases	up	Cluster 0
4	Plantar warts	0.00021446663411257375	24.096385542168676	203.55075623176847	['HLA-C', 'HLA-A', 'HLA-DRB1']	0.09313213586338515	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	GWAS_Catalog_2019	Diseases	up	Cluster 0
5	Cold sores	0.00021446663411257375	24.096385542168676	203.55075623176847	['HLA-C', 'HLA-A', 'HLA-DRB1']	0.07450570869070812	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	GWAS_Catalog_2019	Diseases	up	Cluster 0
1	Lupus Erythematosus, Systemic	7.974666595455612e-12	3.1753248393393885	81.14463648456442	['CIITA', 'CEBPB', 'HSP90AB1', 'ATF6B', 'WIPF1', 'ITGB2', 'CXCR4', 'ITGAL', 'NADSYN1', 'OAZ1', 'CORO1A', 'YY1', 'BAG6', 'SNRNP70', 'CSK', 'NLRP1', 'SRRM2', 'CD74', 'XRCC6', 'JUN', 'JUND', 'ANXA2', 'PRKCB', 'TSC22D3', 'IL10RA', 'STAT2', 'HLA-C', 'MYO9B', 'HLA-A', 'LILRB2', 'TYK2', 'DEF6', 'PRRC2A', 'ATXN2L', 'NFKBIA', 'CD4', 'FOSB', 'HCLS1', 'HLA-DRA', 'GRB2', 'PTPN6', 'WDFY4', 'HLA-DRB1', 'LY6E']	7.837502330013775e-08	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	DisGeNET	Diseases	up	Cluster 0
2	Liver carcinoma	9.743893067763794e-11	1.9448794342412792	44.83296257444973	['RPL30', 'CIITA', 'SPARC', 'SERPINA1', 'HSP90AB1', 'RPLP0', 'ARHGAP1', 'YBX1', 'RPL10A', 'MED15', 'YBX3', 'CTSS', 'ACTG1', 'YY1', 'ZFP36', 'CCND3', 'CAPNS1', 'FTH1', 'RACK1', 'RAC2', 'SH3BGRL3', 'CCNL2', 'SRRM2', 'FCRL1', 'GPX1', 'ANXA2', 'ACSL1', 'PRKCB', 'TPM3', 'RPS5', 'CIRBP', 'HLA-C', 'TALDO1', 'HLA-A', 'RUNX3', 'DUSP6', 'RHOA', 'DNM2', 'EEF1A1', 'OXA1L', 'ILF3', 'VCAN', 'TXNIP', 'TAGLN2', 'ARHGEF1', 'PABPC1', 'TLN1', 'EZR', 'ATF3', 'ATF4', 'LY6E', 'SLC25A6', 'SF3B2', 'CEBPB', 'NLRC5', 'CXCR4', 'SPG7', 'CORO1A', 'ADD1', 'GRK2', 'DPP9', 'UBC', 'PTK2B', 'STAT6', 'CSK', 'HNRNPA1', 'STAT5A', 'CD74', 'XRCC6', 'JUN', 'JUND', 'GADD45B', 'STAT2', 'HPS1', 'NR4A2', 'NFKBIA', 'PER1', 'APEX1', 'HNRNPA2B1', 'ZYX', 'GNAS', 'FOSB', 'HLA-DRA', 'GRB2', 'PTPN6', 'P4HB', 'HLA-DRB1']	4.788149053499128e-07	0	0	https://amp.pharm.mssm.edu/Enrichr/enrich?dataset=a3ac9d8cfbc26b96297cb505fb0769ab	DisGeNET	Diseases	up	Cluster 0
